feature,importance
bos_detected,0.0
bos_strength,0.0
choch_detected,0.0
choch_strength,0.0
fvg_detected,0.0
fvg_size,0.0
ob_distance,0.0
liquidity_sweep,0.0
displacement_strength,0.0
trend_confidence,0.0
ema_distance,0.0
ema_slope,0.0
atr,0.0
atr_ratio,0.0
candle_range_vs_atr,0.0
rsi,0.0
rsi_slope,0.0
volume_ratio,0.0
momentum_strength,0.0
spread,0.0
sl_distance,0.0
tp_distance,0.0
rr_ratio,0.0
expected_hold_bars,0.0
ml_probability,0.0
ml_threshold,0.0
risk_multiplier,0.0
weekday,0.0
order_block_detected,0.0
ema_fast,0.0
ema_slow,0.0
