<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.07.10	16:00:00.020	4100.66	4101.06			6
2026.07.10	16:00:00.123		4100.91			4
2026.07.10	16:00:00.178	4100.90	4101.18			6
2026.07.10	16:00:00.226	4100.99	4101.29			6
2026.07.10	16:00:00.324	4100.81	4101.11			6
2026.07.10	16:00:00.373	4101.06	4101.49			6
2026.07.10	16:00:00.430	4101.03	4101.27			6
2026.07.10	16:00:00.474	4101.08	4101.33			6
2026.07.10	16:00:00.524	4101.15	4101.45			6
2026.07.10	16:00:00.573	4101.28	4101.66			6
2026.07.10	16:00:00.629	4101.23	4101.69			6
2026.07.10	16:00:00.672	4100.83	4101.21			6
2026.07.10	16:00:00.727	4100.80	4101.17			6
2026.07.10	16:00:00.778	4100.62	4100.86			6
2026.07.10	16:00:00.835	4100.69	4101.23			6
2026.07.10	16:00:00.877	4100.68	4101.10			6
2026.07.10	16:00:00.924	4100.59	4100.89			6
2026.07.10	16:00:00.976	4100.45	4100.85			6
2026.07.10	16:00:01.022	4100.36	4100.67			6
2026.07.10	16:00:01.079	4100.60	4100.99			6
2026.07.10	16:00:01.125	4100.56	4100.83			6
2026.07.10	16:00:01.177	4100.32	4100.69			6
2026.07.10	16:00:01.228	4100.05	4100.31			6
2026.07.10	16:00:01.277	4099.91	4100.28			6
2026.07.10	16:00:01.324	4099.77	4100.12			6
2026.07.10	16:00:01.375	4099.47	4099.97			6
2026.07.10	16:00:01.429	4099.45	4099.89			6
2026.07.10	16:00:01.474		4099.91			4
2026.07.10	16:00:01.481		4099.94			4
2026.07.10	16:00:01.482		4099.95			4
2026.07.10	16:00:01.482		4099.98			4
2026.07.10	16:00:01.537		4100.00			4
2026.07.10	16:00:01.574	4099.44	4099.77			6
2026.07.10	16:00:01.625	4099.34	4099.78			6
2026.07.10	16:00:01.675	4099.26	4099.56			6
2026.07.10	16:00:01.725	4098.99	4099.47			6
2026.07.10	16:00:01.771	4099.08	4099.43			6
2026.07.10	16:00:01.821	4099.03	4099.39			6
2026.07.10	16:00:01.871	4099.16	4099.41			6
2026.07.10	16:00:01.922	4098.93	4099.39			6
2026.07.10	16:00:02.019	4098.80	4099.20			6
2026.07.10	16:00:02.119	4099.02	4099.27			6
2026.07.10	16:00:02.174	4099.26	4099.65			6
2026.07.10	16:00:02.235	4099.15	4099.57			6
2026.07.10	16:00:02.624	4099.24	4099.43			6
2026.07.10	16:00:02.677	4099.66	4100.14			6
2026.07.10	16:00:02.874	4099.57	4099.95			6
2026.07.10	16:00:02.922	4099.67	4099.92			6
2026.07.10	16:00:02.972	4099.79	4100.09			6
2026.07.10	16:00:03.024	4099.89	4100.35			6
2026.07.10	16:00:03.072	4099.86	4100.16			6
2026.07.10	16:00:03.124	4100.06	4100.36			6
2026.07.10	16:00:03.172	4099.89	4100.29			6
2026.07.10	16:00:03.224		4100.49			4
2026.07.10	16:00:03.275	4100.14				2
2026.07.10	16:00:03.523	4100.27	4100.62			6
2026.07.10	16:00:03.570	4100.22				2
2026.07.10	16:00:03.623	4100.66	4101.13			6
2026.07.10	16:00:03.674	4101.18	4101.43			6
2026.07.10	16:00:03.727	4101.08	4101.52			6
2026.07.10	16:00:03.783	4101.19	4101.58			6
2026.07.10	16:00:03.821	4101.11	4101.43			6
2026.07.10	16:00:03.875	4101.18				2
2026.07.10	16:00:03.920	4101.15	4101.39			6
2026.07.10	16:00:03.973	4101.07	4101.33			6
2026.07.10	16:00:04.023	4100.83	4101.18			6
2026.07.10	16:00:04.075	4101.04	4101.42			6
2026.07.10	16:00:04.124	4101.06	4101.28			6
2026.07.10	16:00:04.177	4101.28	4101.76			6
2026.07.10	16:00:04.225		4101.77			4
2026.07.10	16:00:04.273	4101.44	4101.79			6
2026.07.10	16:00:04.322	4101.47	4101.72			6
2026.07.10	16:00:04.372	4101.38	4101.81			6
2026.07.10	16:00:04.520		4101.83			4
2026.07.10	16:00:04.622	4101.79	4101.87			6
2026.07.10	16:00:04.673	4101.85	4102.28			6
2026.07.10	16:00:04.722		4102.30			4
2026.07.10	16:00:04.822		4102.31			4
2026.07.10	16:00:04.872	4101.88	4102.13			6
2026.07.10	16:00:04.923	4101.94	4102.18			6
2026.07.10	16:00:04.973	4101.89	4102.14			6
2026.07.10	16:00:05.022	4101.91	4102.15			6
2026.07.10	16:00:05.071	4101.86	4102.10			6
2026.07.10	16:00:05.123	4101.68	4102.07			6
2026.07.10	16:00:05.177	4101.59				2
2026.07.10	16:00:05.226	4101.67				2
2026.07.10	16:00:05.277	4101.64				2
2026.07.10	16:00:05.325	4101.81	4102.05			6
2026.07.10	16:00:05.374	4101.86	4102.11			6
2026.07.10	16:00:05.433	4102.04	4102.45			6
2026.07.10	16:00:05.522	4102.06				2
2026.07.10	16:00:05.573	4102.01	4102.31			6
2026.07.10	16:00:05.622	4101.96	4102.30			6
2026.07.10	16:00:05.679	4101.80	4102.21			6
2026.07.10	16:00:05.774	4101.81				2
2026.07.10	16:00:05.824	4101.90	4102.14			6
2026.07.10	16:00:05.874	4102.02	4102.40			6
2026.07.10	16:00:05.922	4101.93	4102.31			6
2026.07.10	16:00:05.973	4101.73	4102.41			6
2026.07.10	16:00:06.024	4101.86	4102.11			6
2026.07.10	16:00:06.075	4101.73	4102.35			6
2026.07.10	16:00:06.124	4101.67	4102.02			6
2026.07.10	16:00:06.172	4101.52	4101.88			6
2026.07.10	16:00:06.225	4101.49	4102.02			6
2026.07.10	16:00:06.271	4101.44	4102.07			6
2026.07.10	16:00:06.323	4101.54	4101.78			6
2026.07.10	16:00:06.371	4101.62	4102.00			6
