trade,entry_time,pnl_r,equity_r
1,2024-06-25 10:15:00+00:00,-1.0,-1.0
2,2024-06-26 08:45:00+00:00,2.00000000000084,1.0000000000008402
3,2024-06-26 09:30:00+00:00,2.0,3.00000000000084
4,2024-06-26 09:45:00+00:00,1.9999999999993732,5.000000000000213
5,2024-06-26 10:00:00+00:00,-1.0,4.000000000000213
6,2024-06-26 10:15:00+00:00,-1.0,3.000000000000213
7,2024-06-26 10:30:00+00:00,-1.0,2.000000000000213
8,2024-06-26 11:45:00+00:00,2.0,4.000000000000213
9,2024-06-26 13:00:00+00:00,-1.0,3.000000000000213
10,2024-06-26 13:15:00+00:00,-1.0,2.000000000000213
11,2024-06-26 15:45:00+00:00,-1.0,1.0000000000002132
12,2024-06-26 16:00:00+00:00,-1.0,2.1316282072803006e-13
13,2024-06-26 16:15:00+00:00,-1.0,-0.9999999999997868
14,2024-06-27 11:15:00+00:00,-1.0,-1.9999999999997868
15,2024-06-28 07:15:00+00:00,-1.0,-2.999999999999787
16,2024-07-05 10:45:00+00:00,-1.0,-3.999999999999787
17,2024-07-05 11:00:00+00:00,-1.0,-4.999999999999787
18,2024-07-05 11:45:00+00:00,-1.0,-5.999999999999787
19,2024-07-05 13:00:00+00:00,-1.0,-6.999999999999787
20,2024-07-05 15:30:00+00:00,-1.0,-7.999999999999787
21,2024-07-08 10:45:00+00:00,-1.0,-8.999999999999787
22,2024-07-08 11:00:00+00:00,-1.0,-9.999999999999787
23,2024-07-08 11:30:00+00:00,-1.0,-10.999999999999787
24,2024-07-11 10:45:00+00:00,2.0,-8.999999999999787
25,2024-07-11 11:30:00+00:00,2.000000000000656,-6.999999999999131
26,2024-07-11 11:45:00+00:00,-1.0,-7.999999999999131
27,2024-07-11 13:00:00+00:00,-1.0,-8.999999999999131
28,2024-07-11 13:15:00+00:00,2.0000000000005396,-6.999999999998591
29,2024-07-11 15:30:00+00:00,-1.0,-7.999999999998591
30,2024-07-11 15:45:00+00:00,-1.0,-8.999999999998591
31,2024-07-11 16:00:00+00:00,-1.0,-9.999999999998591
32,2024-07-11 17:00:00+00:00,-1.0,-10.999999999998591
33,2024-07-11 17:15:00+00:00,-0.4835787089467899,-11.483578708945382
34,2024-07-11 17:45:00+00:00,-1.0,-12.483578708945382
35,2024-07-12 10:45:00+00:00,2.0,-10.483578708945382
36,2024-07-12 11:00:00+00:00,2.0,-8.483578708945382
37,2024-07-12 11:15:00+00:00,2.000000000000514,-6.483578708944869
38,2024-07-12 11:30:00+00:00,0.9495268138802035,-5.534051895064665
