symbol,side,direction,create_time,entry_time,exit_time,create_idx,entry_idx,exit_idx,entry_price,sl_price,tp_price,structural_stop_price,stop_distance_pips,stop_distance_atr,origin_swing_price,origin_swing_idx,sweep_price,sweep_idx,bos_break_price,bos_break_idx,bos_level,bos_direction,zone_low,zone_high,zone_size_atr,bars_since_fvg_creation,fvg_type,fvg_mid,pnl_r,holding_bars,exit_reason,mfe_r,mae_r
EURUSD,LONG,1,2010-06-10 15:00:00+00:00,2010-06-11 17:00:00+00:00,2010-06-11 18:00:00+00:00,954,980,981,1.2076,1.2151399999999999,1.2226799999999998,1.2151399999999999,0.00753999999999988,2.447484349640601,1.2151399999999999,976,1.2151399999999999,977,1.20845,977,1.20726,1,1.2053099999999999,1.20613,0.20437956204380692,26,fvg_bullish,1.20572,1.0,1,sl_hit,0.029177718832876717,-0.27188328912465753
EURUSD,LONG,1,2010-11-22 01:00:00+00:00,2010-11-22 08:00:00+00:00,2010-11-22 09:00:00+00:00,3724,3731,3732,1.37317,1.3767,1.38023,1.3767,0.003530000000000033,1.3528606624692014,1.3767,3728,1.3767,3729,1.3749799999999999,3729,1.37308,1,1.36944,1.3739,1.338191170167116,7,fvg_bullish,1.37167,1.0,1,sl_hit,0.47875354107647405,-0.25212464589236516
EURUSD,LONG,1,2012-04-09 19:00:00+00:00,2012-04-10 10:00:00+00:00,2012-04-10 11:00:00+00:00,12346,12361,12362,1.30834,1.31436,1.3203799999999999,1.31436,0.006019999999999914,3.541176470588211,1.31436,12355,1.31436,12356,1.31423,12356,1.30851,1,1.3076400000000001,1.30823,0.3653250773992918,15,fvg_bullish,1.307935,1.0,1,sl_hit,0.22259136212623187,-0.1362126245847267
EURUSD,LONG,1,2012-12-11 14:00:00+00:00,2012-12-11 15:00:00+00:00,2012-12-11 16:00:00+00:00,16565,16566,16567,1.29923,1.29965,1.3000699999999998,1.29965,0.0004199999999998649,0.24989375265610742,1.29965,16564,1.29965,16565,1.29836,16565,1.29419,1,1.29749,1.29836,0.5382235969951007,1,fvg_bullish,1.297925,1.0,1,sl_hit,1.5238095238099518,-2.547619047620168
EURUSD,SHORT,-1,2013-08-21 11:00:00+00:00,2013-08-21 12:00:00+00:00,2013-08-21 13:00:00+00:00,20832,20833,20834,1.34056,1.33859,1.33662,1.33859,0.0019700000000000273,1.8851674641148404,1.33859,20831,1.33859,20832,1.33859,20832,1.34139,-1,1.33999,1.34073,0.7914438502673372,1,fvg_bearish,1.34036,1.0,1,sl_hit,1.2487309644669404,-0.020304568527938806
EURUSD,SHORT,-1,2013-09-26 12:00:00+00:00,2013-09-27 14:00:00+00:00,2013-09-27 15:00:00+00:00,21457,21483,21484,1.35338,1.34721,1.34104,1.34721,0.006170000000000009,4.967222541690503,1.34721,21464,1.34721,21465,1.34783,21465,1.35113,-1,1.35145,1.35151,0.0607375271149148,26,fvg_bearish,1.35148,1.0,1,sl_hit,-0.0016207455429603725,-0.35494327390598235
EURUSD,SHORT,-1,2013-11-01 16:00:00+00:00,2013-11-04 00:00:00+00:00,2013-11-04 01:00:00+00:00,22054,22062,22063,1.34904,1.34798,1.34692,1.34798,0.001060000000000061,0.5167130919220339,1.34798,22055,1.34798,22056,1.34879,22056,1.35394,-1,1.3504800000000001,1.3507799999999999,0.16935483870953236,8,fvg_bearish,1.35063,1.0,1,sl_hit,0.16037735849056012,-0.48113207547168035
EURUSD,LONG,1,2014-05-27 03:00:00+00:00,2014-05-27 09:00:00+00:00,2014-05-27 10:00:00+00:00,25494,25500,25501,1.36516,1.3668,1.36844,1.3668,0.0016400000000000858,2.460878885316356,1.3668,25494,1.3668,25495,1.36623,25495,1.36538,1,1.3646,1.36486,0.37142857142847435,6,fvg_bullish,1.36473,1.0,1,sl_hit,0.2987804878049243,-0.5243902439023268
EURUSD,LONG,1,2014-06-25 15:00:00+00:00,2014-06-26 14:00:00+00:00,2014-06-26 15:00:00+00:00,26010,26033,26034,1.36078,1.36406,1.36734,1.36406,0.0032799999999999496,4.560079443892871,1.36406,26014,1.36406,26028,1.3635,26028,1.36185,1,1.3605800000000001,1.36101,0.4866612772836551,23,fvg_bullish,1.360795,1.0,1,sl_hit,0.15243902439022947,-0.36280487804879347
EURUSD,SHORT,-1,2014-09-02 12:00:00+00:00,2014-09-02 15:00:00+00:00,2014-09-02 16:00:00+00:00,27183,27186,27187,1.31222,1.31097,1.30972,1.31097,0.0012499999999999734,1.4297385620914953,1.31097,27183,1.31097,27184,1.31173,27184,1.3118400000000001,-1,1.31188,1.31226,0.5115384615385156,3,fvg_bearish,1.3120699999999998,1.0,1,sl_hit,0.1279999999999531,-0.37599999999998435
