setup_id,bar_idx,time,reason
EURUSD_16_LONG_1,39,2024-10-18 11:30:00+00:00,OPPOSITE_CHOCH
EURUSD_31_LONG_2,33,2024-10-18 10:00:00+00:00,FVG_INVALIDATED
EURUSD_37_LONG_3,39,2024-10-18 11:30:00+00:00,OPPOSITE_CHOCH
EURUSD_40_SHORT_4,41,2024-10-18 12:00:00+00:00,FVG_INVALIDATED
EURUSD_62_LONG_6,67,2024-10-18 18:30:00+00:00,FVG_INVALIDATED
EURUSD_72_LONG_8,74,2024-10-18 20:15:00+00:00,FVG_INVALIDATED
EURUSD_75_SHORT_9,78,2024-10-18 21:15:00+00:00,FVG_INVALIDATED
EURUSD_86_LONG_10,89,2024-10-21 00:00:00+00:00,FVG_INVALIDATED
EURUSD_89_SHORT_11,93,2024-10-21 01:00:00+00:00,FVG_INVALIDATED
EURUSD_90_SHORT_12,93,2024-10-21 01:00:00+00:00,FVG_INVALIDATED
EURUSD_92_LONG_13,103,2024-10-21 03:30:00+00:00,FVG_INVALIDATED
EURUSD_94_LONG_14,101,2024-10-21 03:00:00+00:00,FVG_INVALIDATED
EURUSD_118_SHORT_15,182,2024-10-21 23:15:00+00:00,TTL_EXPIRED
EURUSD_119_SHORT_16,183,2024-10-21 23:30:00+00:00,TTL_EXPIRED
EURUSD_132_SHORT_20,135,2024-10-21 11:30:00+00:00,FVG_INVALIDATED
EURUSD_141_SHORT_21,148,2024-10-21 14:45:00+00:00,FVG_INVALIDATED
EURUSD_157_SHORT_23,201,2024-10-22 04:00:00+00:00,OPPOSITE_CHOCH
EURUSD_159_SHORT_24,201,2024-10-22 04:00:00+00:00,OPPOSITE_CHOCH
EURUSD_160_SHORT_25,201,2024-10-22 04:00:00+00:00,OPPOSITE_CHOCH
EURUSD_161_SHORT_26,201,2024-10-22 04:00:00+00:00,OPPOSITE_CHOCH
EURUSD_162_SHORT_27,201,2024-10-22 04:00:00+00:00,OPPOSITE_CHOCH
EURUSD_163_SHORT_28,201,2024-10-22 04:00:00+00:00,OPPOSITE_CHOCH
EURUSD_177_SHORT_29,180,2024-10-21 22:45:00+00:00,FVG_INVALIDATED
EURUSD_181_LONG_30,184,2024-10-21 23:45:00+00:00,FVG_INVALIDATED
EURUSD_184_SHORT_31,185,2024-10-22 00:00:00+00:00,FVG_INVALIDATED
EURUSD_190_LONG_32,192,2024-10-22 01:45:00+00:00,FVG_INVALIDATED
EURUSD_193_SHORT_33,198,2024-10-22 03:15:00+00:00,FVG_INVALIDATED
EURUSD_202_LONG_34,207,2024-10-22 05:30:00+00:00,FVG_INVALIDATED
EURUSD_213_LONG_35,236,2024-10-22 12:45:00+00:00,OPPOSITE_CHOCH
EURUSD_228_LONG_38,231,2024-10-22 11:30:00+00:00,FVG_INVALIDATED
EURUSD_236_SHORT_40,239,2024-10-22 13:30:00+00:00,FVG_INVALIDATED
EURUSD_237_SHORT_41,238,2024-10-22 13:15:00+00:00,FVG_INVALIDATED
EURUSD_239_LONG_42,244,2024-10-22 14:45:00+00:00,FVG_INVALIDATED
EURUSD_244_SHORT_43,303,2024-10-23 05:30:00+00:00,OPPOSITE_CHOCH
