schema_version,trade_id,symbol,timestamp,direction,session,weekday,bos_detected,bos_strength,choch_detected,choch_strength,fvg_detected,fvg_size,fvg_fill_status,fvg_direction,ob_detected,ob_distance,liquidity_sweep,displacement_magnitude,displacement_bullish,displacement_bearish,premium_discount_zone,premium_distance,ote_long_min,ote_short_min,d1_bias,h4_bias,trend_alignment,trend_confidence,ema_fast,ema_slow,ema_distance,ema_slope,atr,atr_ratio,candle_range_vs_atr,volatility_regime,rsi,rsi_slope,volume_ratio,momentum_strength,spread,market_regime,directional_efficiency,range_compression,sl_distance,tp_distance,rr_ratio,expected_hold_bars,ml_probability,ml_threshold,governor_mode,risk_multiplier,agent_ict_bias,agent_ict_confidence,agent_ict_events,agent_wyckoff_bias,agent_wyckoff_confidence,agent_wyckoff_phase,agent_wyckoff_events,agent_wyckoff_spring,agent_wyckoff_upthrust,agent_wyckoff_sos,agent_wyckoff_sow,agent_wyckoff_effort_divergence,agent_wyckoff_stoch_exhaustion,agent_wyckoff_stoch_divergence,agent_structure_bias,agent_structure_confidence,agent_structure_events,agent_decision_bias,agent_decision_confidence,agent_decision_reasons,agent_decision_conflicts,agent_decision_conflict_penalty,agent_decision_ml_probability,agent_decision_weighted_bias_sum,agent_decision_total_weight,pnl_r,win,exit_reason,max_favorable_excursion,max_adverse_excursion
v3,EURUSD-2026-05-15 10:15:00+00:00-1,EURUSD,2026-05-15 10:15:00+00:00,SHORT,LONDON,4,1,-1.0,1,0.0,0,0.0,none,NONE,0,0.007050000000000001,0,0.0,0,0,DISCOUNT,-0.12781945276732626,1.1647392,1.1636486,RANGING,BEARISH,BEARISH,0.26351700975266923,1.1645272940753923,1.165610210792106,0.0010829167167136777,-0.0003561661176789688,0.0006899999999999842,1.4306872037914078,1.1304347826087258,HIGH_VOL,40.0826446280988,-0.5882149106868795,1.5339298616128494,-0.0010829167167136777,1.0,HIGH_VOL,0.1594746716697819,1.677708893974096,0.0015000000000000568,0.0013799999999999368,0.919999999999923,16,0.73,0.6799999999999999,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.919999999999923,1,TP,1.5399999999999645,-0.03333333333325438
v3,EURUSD-2026-05-15 10:45:00+00:00-2,EURUSD,2026-05-15 10:45:00+00:00,SHORT,LONDON,4,1,-1.0,1,0.0,1,1.0000000000065512e-05,bearish_unfilled,BEARISH,0,0.007640000000000091,0,0.0,0,0,DISCOUNT,-0.5249995625003461,1.164578,1.163594,RANGING,BEARISH,BEARISH,0.34194063566018107,1.1643983971909675,1.1654726859330438,0.0010742887420762681,-0.0002998548038142257,0.0007364285714285426,1.4580681657473518,0.7740058195926037,HIGH_VOL,36.126629422719134,-2.062346955234865,0.9338188048832727,-0.0010742887420762681,0.0,HIGH_VOL,0.2980599647266384,1.5566196632683895,0.0020900000000001473,0.0014728571428570536,0.7047163362951913,16,0.8400000000000001,0.6799999999999999,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.7047163362951913,1,TP,0.8229665071769486,-0.08133971291865622
v3,EURUSD-2026-05-15 11:00:00+00:00-3,EURUSD,2026-05-15 11:00:00+00:00,SHORT,LONDON,4,1,-1.0,1,0.0,0,0.0,bearish_unfilled,NONE,0,0.007849999999999913,0,0.0,0,0,DISCOUNT,-0.6828187816573698,1.1644974,1.1635667,RANGING,BEARISH,BEARISH,0.36130622385294187,1.1643080736489706,1.1653933649160617,0.0010852912670911152,-0.0002722495844031947,0.000754999999999966,1.4600455832584445,0.7682119205295749,HIGH_VOL,36.26168224299187,0.13505282027273324,1.3392488650433347,-0.0010852912670911152,1.0,HIGH_VOL,0.30419580419576947,1.525555550661869,0.0020399999999998197,0.0015099999999999003,0.7401960784313891,16,0.8400000000000001,0.6799999999999999,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.7401960784313891,1,TP,0.7401960784314979,-0.0931372549019261
v3,EURUSD-2026-05-15 11:15:00+00:00-4,EURUSD,2026-05-15 11:15:00+00:00,SHORT,LONDON,4,1,-1.0,1,0.0,1,4.0000000000040004e-05,bearish_unfilled,BEARISH,0,0.008029999999999982,1,0.0,0,0,DISCOUNT,-0.7489533481562337,1.1644518,1.1634719,RANGING,BEARISH,BEARISH,0.40595397672924904,1.1642092094919259,1.165310095703667,0.0011008862117412033,-0.000347273433507711,0.000762857142857097,1.4386744796927884,0.6816479400747559,HIGH_VOL,36.46616541353489,0.20448317054302123,1.2559288537549407,-0.0011008862117412033,2.0,HIGH_VOL,0.3367521367521338,1.3073567083057072,0.0020899999999999253,0.0015257142857141304,0.7300068352699449,16,0.8400000000000001,0.6799999999999999,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.7300068352699449,1,TP,0.7607655502392522,-0.17703349282296396
v3,EURUSD-2026-05-15 11:30:00+00:00-5,EURUSD,2026-05-15 11:30:00+00:00,SHORT,LONDON,4,1,-1.0,1,0.0,0,0.0,none,NONE,0,0.00770000000000004,1,0.0,0,0,DISCOUNT,-0.4482754756246362,1.1643984,1.1634472,RANGING,BEARISH,BEARISH,0.3259030207849058,1.1641511895403138,1.1652430331270527,0.001091843586738861,-0.00037610453507852526,0.0007728571428570831,1.4195749147204535,0.8280961182994757,HIGH_VOL,41.72794117646962,5.261775762934732,1.17782688058411,-0.001091843586738861,0.0,HIGH_VOL,0.26298701298700805,1.1642942271124102,0.0017599999999999838,0.0015457142857142614,0.8782467532467475,16,0.8400000000000001,0.6799999999999999,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.8782467532467475,1,TP,0.9431818181818239,-0.022727272727295664
v3,EURUSD-2026-05-15 11:45:00+00:00-6,EURUSD,2026-05-15 11:45:00+00:00,SHORT,LONDON,4,1,-1.0,1,0.0,0,0.0,none,NONE,0,0.008010000000000073,1,0.0,0,0,DISCOUNT,-0.6982752601076186,1.1643784,1.1634272,RANGING,BEARISH,BEARISH,0.30921931494426447,1.1640691714888554,1.1651664435926585,0.0010972721038031708,-0.000406951722213833,0.0007835714285713598,1.3984320224360067,0.8933454876936902,HIGH_VOL,37.634408602149435,-4.093532574320186,1.0309278350515463,-0.0010972721038031708,0.0,HIGH_VOL,0.29721362229103787,1.132591311904846,0.0019900000000001583,0.001567142857142656,0.7875089734384579,16,0.8400000000000001,0.6799999999999999,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.7875089734384579,1,TP,0.8090452261305333,-0.030150753768816187
v3,EURUSD-2026-05-15 14:45:00+00:00-7,EURUSD,2026-05-15 14:45:00+00:00,SHORT,NEW_YORK,4,0,0.0,1,0.0,1,0.00043999999999999595,bearish_unfilled,BEARISH,0,0.008150000000000102,0,0.0,0,0,DISCOUNT,-0.23834184541880032,1.1640732,1.1624906,RANGING,BEARISH,BEARISH,0.45972503469409487,1.1637344596805834,1.1645336497129193,0.0007991900323358614,0.00010115754850770209,0.0008514285714285665,1.0903768752287377,0.6459731543624792,RANGING,49.130434782607736,0.2831725347703937,0.95650492944133,-0.0007991900323358614,2.0,RANGING,0.03510758776897529,1.019973569913425,0.0023900000000001143,0.0017028571428572281,0.7124925283921116,16,0.6200000000000001,0.63,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.27196652719656333,1,hold_limit,0.5648535564853129,-0.25941422594143737
v3,EURUSD-2026-05-15 15:00:00+00:00-8,EURUSD,2026-05-15 15:00:00+00:00,SHORT,NEW_YORK,4,0,0.0,1,0.0,0,0.0,bearish_unfilled,NONE,0,0.008569999999999967,0,0.0,0,0,DISCOUNT,-0.4559583129749662,1.1640732,1.1624906,RANGING,BEARISH,BEARISH,0.42094615931346974,1.1636387968538613,1.1644629183516284,0.0008241214977671163,-0.00011609555135017047,0.0008535714285714377,1.0789093535573078,0.7849372384939152,RANGING,43.776824034334545,-5.353610748273191,1.0953966699314397,-0.0008241214977671163,2.0,RANGING,0.19093078758952328,1.0387576748880143,0.002809999999999979,0.001707142857142907,0.6075241484494376,16,0.6200000000000001,0.63,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.10320284697513368,1,hold_limit,0.3309608540925638,-0.37010676156581407
v3,EURUSD-2026-05-19 16:15:00+00:00-9,EURUSD,2026-05-19 16:15:00+00:00,SHORT,NEW_YORK,1,1,-1.0,1,0.0,0,0.0,none,NONE,0,0.0021800000000000708,0,0.0,0,0,DISCOUNT,-0.9054047936453996,1.1622452,1.1610316,RANGING,BEARISH,BEARISH,0.48631762040292825,1.1620098741845974,1.1628781062576432,0.0008682320730457604,-0.00035823643908394764,0.000740714285714285,1.0926140554208952,1.4850530376086237,RANGING,39.77987421383573,-6.790522898079132,1.594309541329409,-0.0008682320730457604,1.0,RANGING,0.3178294573643349,0.9348083906939942,0.0028200000000000447,0.0014814285714286335,0.5253292806484433,16,0.8400000000000001,0.63,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13829787234046323,0,hold_limit,0.5177304964538985,-0.4007092198581764
v3,EURUSD-2026-05-19 16:30:00+00:00-10,EURUSD,2026-05-19 16:30:00+00:00,SHORT,NEW_YORK,1,1,-1.0,1,0.0,1,7.00000000000145e-05,bearish_unfilled,BEARISH,0,0.0018599999999999728,1,0.0,0,0,DISCOUNT,-0.42545423603328586,1.161785,1.1606575,RANGING,BEARISH,BEARISH,0.44308984321132827,1.1619013147384454,1.1627993569926376,0.0008980422541922106,-0.000453642492504569,0.0007457142857142861,1.0917076231307867,1.1934865900383906,RANGING,36.37873754152968,-3.401136672306052,1.8321618577919305,-0.0008980422541922106,0.0,RANGING,0.23809523809522448,0.9919348274755972,0.0024999999999999467,0.001491428571428477,0.5965714285714036,16,0.8400000000000001,0.63,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5965714285714036,1,TP,0.7120000000000611,-0.32399999999999785
