feature,outcome,pearson_corr,n
trend_score,signed_return_1,0.007402739918469939,299960
trend_score,signed_return_3,0.01571239376902944,299958
trend_score,signed_return_5,0.026017185380304748,299956
trend_score,signed_return_10,0.034734454182630985,299951
trend_score,signed_return_20,0.030966292376927378,299941
trend_score,continuity_5,0.026648723181650423,38241
trend_score,continuity_10,0.02068602764555712,38241
trend_score,continuity_20,0.012756664503005229,38241
trend_score,mfe_r_5,-0.0007618959287476676,38241
trend_score,mfe_r_10,0.00498817819716662,38241
trend_score,mfe_r_20,-0.003533485386216492,38241
trend_confidence,signed_return_1,0.010030255121772701,299960
trend_confidence,signed_return_3,0.01872573301502198,299958
trend_confidence,signed_return_5,0.026562653869185947,299956
trend_confidence,signed_return_10,0.03710032270249033,299951
trend_confidence,signed_return_20,0.05049723435916074,299941
trend_confidence,continuity_5,0.018336558432160015,38241
trend_confidence,continuity_10,0.023512383947813045,38241
trend_confidence,continuity_20,0.026931437910158396,38241
trend_confidence,mfe_r_5,0.0767392195396027,38241
trend_confidence,mfe_r_10,0.07947390078539289,38241
trend_confidence,mfe_r_20,0.06960160839438041,38241
atr_ratio,signed_return_1,0.002313856561579517,299960
atr_ratio,signed_return_3,0.0021973583579373754,299958
atr_ratio,signed_return_5,0.0016061570741222005,299956
atr_ratio,signed_return_10,0.0032587056694515313,299951
atr_ratio,signed_return_20,0.007916063903429084,299941
atr_ratio,continuity_5,0.0003278803488201598,38241
atr_ratio,continuity_10,0.0003288377532575875,38241
atr_ratio,continuity_20,-0.00244847455224189,38241
atr_ratio,mfe_r_5,-0.06290466180802298,38241
atr_ratio,mfe_r_10,-0.09893240705904317,38241
atr_ratio,mfe_r_20,-0.08259597818591044,38241
rsi,signed_return_1,0.004671258778234195,299950
rsi,signed_return_3,0.008401283344139237,299948
rsi,signed_return_5,0.013806134889490115,299946
rsi,signed_return_10,0.017074503577793006,299941
rsi,signed_return_20,0.01226291174426841,299931
rsi,continuity_5,0.025539449468006497,38236
rsi,continuity_10,0.020974398109246985,38236
rsi,continuity_20,0.002963623696338936,38236
rsi,mfe_r_5,0.01001589355658935,38236
rsi,mfe_r_10,0.009894301274514999,38236
rsi,mfe_r_20,-0.0039213338505562495,38236
pullback_depth_up_atr,signed_return_1,-0.003965606140310274,299960
pullback_depth_up_atr,signed_return_3,-0.006718600825244266,299958
pullback_depth_up_atr,signed_return_5,-0.011176823425833383,299956
pullback_depth_up_atr,signed_return_10,-0.014085044094680546,299951
pullback_depth_up_atr,signed_return_20,-0.012781792940316766,299941
pullback_depth_up_atr,continuity_5,-0.024818501782979875,38241
pullback_depth_up_atr,continuity_10,-0.013723546502777626,38241
pullback_depth_up_atr,continuity_20,-0.009269688700097417,38241
pullback_depth_up_atr,mfe_r_5,-0.00911146284888181,38241
pullback_depth_up_atr,mfe_r_10,-0.011979622162280804,38241
pullback_depth_up_atr,mfe_r_20,-0.008796795308726795,38241
pullback_depth_down_atr,signed_return_1,0.0013996699351200624,299960
pullback_depth_down_atr,signed_return_3,0.006032028490881231,299958
pullback_depth_down_atr,signed_return_5,0.012585754055261926,299956
pullback_depth_down_atr,signed_return_10,0.014967335575216014,299951
pullback_depth_down_atr,signed_return_20,0.008630229036024582,299941
pullback_depth_down_atr,continuity_5,0.019499368494910185,38241
pullback_depth_down_atr,continuity_10,0.016746512649023878,38241
pullback_depth_down_atr,continuity_20,0.0022530889478925725,38241
pullback_depth_down_atr,mfe_r_5,0.0025664336705205956,38241
pullback_depth_down_atr,mfe_r_10,0.00636649570404039,38241
pullback_depth_down_atr,mfe_r_20,-0.017888633030548724,38241
pullback_score,signed_return_1,-0.005516653173063896,299960
pullback_score,signed_return_3,-0.003340031837022549,299958
pullback_score,signed_return_5,-0.0058710749842008645,299956
pullback_score,signed_return_10,-0.0059555791405655105,299951
pullback_score,signed_return_20,0.0021821457735046314,299941
pullback_score,continuity_5,-0.02163481423005592,38241
pullback_score,continuity_10,-0.017551842800639164,38241
pullback_score,continuity_20,-0.0022976866994803757,38241
pullback_score,mfe_r_5,0.006191053175057321,38241
pullback_score,mfe_r_10,0.0034132906434534735,38241
pullback_score,mfe_r_20,0.017195486707333743,38241
