file,label,symbol,strategy,side,create_time,entry_time,sl_atr_mult,pnl_r,entry_price,sl_price,tp_price,fvg_size_atr,ml_confidence,atr_entry,first_mitigation_time
results\setup_examples\trade_001.png,LOSS,EURUSD,B_mitigation,SHORT,2026-05-29 06:15:00+00:00,2026-05-29 08:00:00+00:00,1.5,-1.0,1.16418,1.1647382142857143,1.1625053571428572,0.7291666666665317,0.8772809009238096,0.0003721428571428685,2026-05-29 08:00:00+00:00
results\setup_examples\trade_002.png,LOSS,GBPUSD,B_mitigation,SHORT,2026-05-29 06:00:00+00:00,2026-05-29 08:00:00+00:00,1.5,-1.0,1.3439,1.3444603571428573,1.3422189285714288,0.1528861154446435,0.8727650384325399,0.00037357142857141756,2026-05-29 08:00:00+00:00
results\setup_examples\trade_003.png,LOSS,GBPUSD,B_mitigation,LONG,2026-05-29 07:45:00+00:00,2026-05-29 08:30:00+00:00,1.5,-1.0,1.34363,1.3431017857142857,1.345214642857143,0.13059701492564257,0.8805905161878984,0.0003521428571428485,2026-05-29 08:30:00+00:00
results\setup_examples\trade_004.png,LOSS,GBPUSD,B_mitigation,LONG,2026-05-29 08:00:00+00:00,2026-05-29 08:30:00+00:00,1.5,-1.0,1.3437700000000001,1.3432417857142858,1.345354642857143,0.1873804971319755,0.8825514359951194,0.0003521428571428485,2026-05-29 08:30:00+00:00
results\setup_examples\trade_005.png,LOSS,EURUSD,B_mitigation,SHORT,2026-05-29 05:00:00+00:00,2026-05-29 09:00:00+00:00,1.5,-1.0,1.16475,1.1652921428571428,1.1631235714285713,0.4808080808081328,0.8763449456041755,0.000361428571428576,2026-05-29 05:15:00+00:00
results\setup_examples\trade_006.png,LOSS,EURUSD,B_mitigation,SHORT,2026-05-29 06:00:00+00:00,2026-05-29 09:00:00+00:00,1.5,-1.0,1.16452,1.1650621428571428,1.1628935714285713,0.12216404886532983,0.8742455033941403,0.000361428571428576,2026-05-29 09:00:00+00:00
results\setup_examples\trade_007.png,LOSS,EURUSD,B_mitigation,LONG,2026-05-29 09:15:00+00:00,2026-05-29 10:15:00+00:00,1.5,-1.0,1.16453,1.1639032142857144,1.1664103571428572,0.689938398357351,0.8727276301666917,0.0004178571428571365,2026-05-29 09:30:00+00:00
results\setup_examples\trade_008.png,LOSS,GBPUSD,B_mitigation,LONG,2026-05-28 15:45:00+00:00,2026-05-29 10:30:00+00:00,1.5,-1.0,1.34181,1.3409678571428572,1.3443364285714285,0.9464788732395426,0.8746723518146247,0.000561428571428554,2026-05-28 16:00:00+00:00
results\setup_examples\trade_009.png,LOSS,EURUSD,B_mitigation,LONG,2026-05-29 08:15:00+00:00,2026-05-29 10:30:00+00:00,1.5,-1.0,1.16413,1.163457142857143,1.1661485714285715,0.5785123966947988,0.883050486144435,0.0004485714285714172,2026-05-29 08:30:00+00:00
results\setup_examples\trade_010.png,LOSS,XAUUSD,B_mitigation,SHORT,2026-05-29 11:15:00+00:00,2026-05-29 12:00:00+00:00,1.5,-1.0,4517.94,4531.553571428572,4477.099285714285,0.4852299429338728,0.880501694584375,9.07571428571438,2026-05-29 11:30:00+00:00
results\setup_examples\trade_011.png,LOSS,GBPUSD,B_mitigation,SHORT,2026-05-29 11:45:00+00:00,2026-05-29 12:15:00+00:00,1.5,-1.0,1.34165,1.3427225,1.3384325000000001,0.2370370370369462,0.8762627931805841,0.0007149999999999894,2026-05-29 12:15:00+00:00
results\setup_examples\trade_012.png,LOSS,EURUSD,B_mitigation,SHORT,2026-05-29 11:15:00+00:00,2026-05-29 12:45:00+00:00,1.5,-1.0,1.16392,1.1648907142857143,1.1610078571428573,0.0983146067413437,0.8747333231306071,0.0006471428571428461,2026-05-29 11:30:00+00:00
results\setup_examples\trade_013.png,LOSS,XAUUSD,B_mitigation,SHORT,2026-05-26 14:15:00+00:00,2026-05-29 12:45:00+00:00,1.5,-0.3259875259875849,4532.57,4545.453928571428,4493.918214285714,0.06235565819860976,0.8740992016247907,8.58928571428565,2026-05-29 12:45:00+00:00
results\setup_examples\trade_014.png,LOSS,GBPUSD,B_mitigation,SHORT,2026-05-29 10:30:00+00:00,2026-05-29 14:30:00+00:00,1.5,-1.0,1.3425799999999999,1.343477857142857,1.3398864285714285,1.0508905852419241,0.8807646856472057,0.0005985714285714007,2026-05-29 10:45:00+00:00
